year,dayofyear,hourmin,ws,wd
2017,154,900,2.306,333.8
2017,154,910,2.556,340.3
2017,154,920,4.32,326.7
2017,154,930,5.124,318.2
2017,154,940,5.418,316.1
2017,154,950,6.298,321.3
2017,154,1000,6.39,322
2017,154,1010,6.068,317.1
2017,154,1020,5.818,314.1
2017,154,1030,6.851,321.6
2017,154,1040,5.783,316.3
2017,154,1050,4.652,312.4
2017,154,1100,4.429,308.9
2017,154,1110,5.035,307.1
2017,154,1120,4.603,299.7
2017,154,1130,5.214,302.5
2017,154,1140,5.039,299.5
2017,154,1150,4.333,304.9
2017,154,1200,3.967,295.9
2017,154,1210,4.019,296
2017,154,1220,3.542,289.9
2017,154,1230,5.285,282.8
2017,154,1240,4.798,292.7
2017,154,1250,4.688,280.7
2017,154,1300,4.704,275.5
2017,154,1310,4.585,286.3
2017,154,1320,5.305,279.4
2017,154,1330,5.329,279.5
2017,154,1340,4.236,277.8
2017,154,1350,4.573,287
2017,154,1400,4.692,264.9
2017,154,1410,4.328,273
2017,154,1420,4.464,283.3
2017,154,1430,4.24,276.4
2017,154,1440,4.25,280.9
2017,154,1450,3.74,270.3
2017,154,1500,4.334,268.1
2017,154,1510,4.629,267.7
2017,154,1520,4.744,282.5
2017,154,1530,5.153,263.9
2017,154,1540,5.314,270.1
2017,154,1550,6.314,262.8
2017,154,1600,5.461,265.5
2017,154,1610,5.817,264.1
2017,154,1620,5.618,267.8
2017,154,1630,5.862,265.6
2017,154,1640,5.697,266.9
2017,154,1650,5.409,272.9
2017,154,1700,5.533,262.6
2017,154,1710,5.229,267.6
2017,154,1720,4.762,263.8
2017,154,1730,4.602,261.4
2017,154,1740,4.245,270.1
2017,154,1750,4.286,259.6
2017,154,1800,4.02,255.9
2017,154,1810,3.422,261.3
2017,154,1820,5.017,265.3
2017,154,1830,4.643,267.5
2017,154,1840,4.641,266.7
2017,154,1850,4.844,267.5
2017,154,1900,4.247,269.4
2017,154,1910,4.513,263.7
2017,154,1920,4.648,266.1
2017,154,1930,4.259,264.3
2017,154,1940,4.07,258.4
2017,154,1950,3.53,260.4
2017,154,2000,3.712,259.9
2017,154,2010,3.688,259
2017,154,2020,3.595,246.1
2017,154,2030,3.521,250.2
2017,154,2040,3.207,245.8
2017,154,2050,3.46,250.6
2017,154,2100,3.426,268.5
2017,154,2110,3.082,274
2017,154,2120,3.513,277.3
2017,154,2130,4.295,276
2017,154,2140,3.94,274.6
2017,154,2150,3.461,261.3
2017,154,2200,2.88,266.5
2017,154,2210,3.171,262
2017,154,2220,2.773,273.2
2017,154,2230,3.256,273.9
2017,154,2240,3.331,281.9
2017,154,2250,4.062,277.2
2017,154,2300,3.414,273.2
2017,154,2310,3.331,268
2017,154,2320,3.46,266.3
2017,154,2330,3.074,261.3
2017,154,2340,3.015,270
2017,154,2350,3.329,254.5
2017,155,0,3.168,259.2
2017,155,10,2.831,264
2017,155,20,2.878,260.3
2017,155,30,2.398,255.8
2017,155,40,2.223,248
2017,155,50,2.609,249.3
2017,155,100,2.456,255
2017,155,110,2.662,255.8
2017,155,120,2.611,252.3
2017,155,130,2.626,259.4
2017,155,140,2.756,263.4
2017,155,150,2.32,264.4
2017,155,200,2.288,257.9
2017,155,210,2.374,254.9
2017,155,220,2.321,252.1
2017,155,230,2.604,257.9
2017,155,240,3.119,264.8
2017,155,250,2.908,263.9
2017,155,300,3.102,267.4
2017,155,310,3.556,266.6
