Case,Description,Pycno Depth,M2 Period,M2 Amp,M2 Phase,M2 Phase After Spinup Correction& U-Eta Lag,K1 Period,K1 Amp,K1 Phase,K1 Phase After Spinup Correction& U-Eta Lag,Wind Period,Wind Speed,Wind Phase,Wind Phase After Spinup Correction
12115,K1-Tidal Lag-Pycno12.5,12.5,12.4,0,0,90,23.9,0.022,0,36,24,0,0,0
12116,K1-Tidal Lag-Pycno12.5,12.5,12.4,0,0,90,23.9,0.022,30,66,24,0,0,0
12117,K1-Tidal Lag-Pycno12.5,12.5,12.4,0,0,90,23.9,0.022,60,96,24,0,0,0
12118,K1-Tidal Lag-Pycno12.5,12.5,12.4,0,0,90,23.9,0.022,90,126,24,0,0,0
12119,K1-Tidal Lag-Pycno12.5,12.5,12.4,0,0,90,23.9,0.022,120,156,24,0,0,0
12120,K1-Tidal Lag-Pycno12.5,12.5,12.4,0,0,90,23.9,0.022,150,186,24,0,0,0
12121,K1-Tidal Lag-Pycno12.5,12.5,12.4,0,0,90,23.9,0.022,178,214,24,0,0,0
12122,K1-Tidal Lag-Pycno17.5,17.5,12.4,0,0,90,23.9,0.022,0,36,24,0,0,0
12123,K1-Tidal Lag-Pycno17.5,17.5,12.4,0,0,90,23.9,0.022,30,66,24,0,0,0
12124,K1-Tidal Lag-Pycno17.5,17.5,12.4,0,0,90,23.9,0.022,60,96,24,0,0,0
12125,K1-Tidal Lag-Pycno17.5,17.5,12.4,0,0,90,23.9,0.022,90,126,24,0,0,0
12126,K1-Tidal Lag-Pycno17.5,17.5,12.4,0,0,90,23.9,0.022,120,156,24,0,0,0
12127,K1-Tidal Lag-Pycno17.5,17.5,12.4,0,0,90,23.9,0.022,150,186,24,0,0,0
12128,K1-Tidal Lag-Pycno17.5,17.5,12.4,0,0,90,23.9,0.022,178,214,24,0,0,0
12129,Complementory,12.5,12.4,0.056,0,90,23.9,0.03,0,36,24,0,0,0
12130,Complementory,12.5,12.4,0.056,0,90,23.9,0.039,0,36,24,0,0,0
12131,Complementory,12.5,12.4,0.056,0,90,23.9,0.058,0,36,24,0,0,0
12132,Complementory,12.5,12.4,0.008,0,90,23.9,0.022,0,36,24,0,0,0
12133,Complementory,12.5,12.4,0.011,0,90,23.9,0.022,0,36,24,0,0,0
12134,Complementory,12.5,12.4,0.014,0,90,23.9,0.022,0,36,24,0,0,0
12135,Complementory,12.5,12.4,0.021,0,90,23.9,0.022,0,36,24,0,0,0
12136,Complementory,12.5,12.4,0.032,0,90,23.9,0.022,0,36,24,0,0,0
12137,Complementory,12.5,12.4,0.041,0,90,23.9,0.022,0,36,24,0,0,0
12138,Complementory,12.5,12.4,0,0,90,23.9,0.03,0,36,24,0,0,0
12139,Complementory,12.5,12.4,0,0,90,23.9,0.039,0,36,24,0,0,0
12140,Complementory,12.5,12.4,0,0,90,23.9,0.058,0,36,24,0,0,0
12141,Complementory,12.5,12.4,0.008,0,90,23.9,0,0,36,24,0,0,0
12142,Complementory,12.5,12.4,0.011,0,90,23.9,0,0,36,24,0,0,0
12143,Complementory,12.5,12.4,0.014,0,90,23.9,0,0,36,24,0,0,0
12144,Complementory,12.5,12.4,0.021,0,90,23.9,0,0,36,24,0,0,0
12145,Complementory,12.5,12.4,0.032,0,90,23.9,0,0,36,24,0,0,0
12146,Complementory,12.5,12.4,0.041,0,90,23.9,0,0,36,24,0,0,0
12147,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,0,312
12148,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,30,342
12149,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,60,12
12150,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,90,42
12151,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,120,72
12152,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,150,102
12153,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,180,132
12154,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,210,162
12155,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,240,192
12156,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,270,222
12157,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,300,252
12158,NewSet-M2K1-Wind-Lag-Mild,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,330,282
12159,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,0,312
12160,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,30,342
12161,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,60,12
12162,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,90,42
12163,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,120,72
12164,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,150,102
12165,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,180,132
12166,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,210,162
12167,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,240,192
12168,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,270,222
12169,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,300,252
12170,NewSet-M2K1-Wind-Lag-Severe,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,330,282
