Case,Description,Pycno Depth,M2 Period,M2 Amp,M2 Phase,M2 Phase After Spinup Correction& U-Eta Lag,K1 Period,K1 Amp,K1 Phase,K1 Phase After Spinup Correction& U-Eta Lag,Wind Period,Wind Speed,Wind Phase,Wind Phase After Spinup Correction
12487,Only Wind,17.5,12.4,0,0,90,23.9,0,0,36,24,6,0,312
12488,Only Wind,20,12.4,0,0,90,23.9,0,0,36,24,6,0,312
12489,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,0,312
12490,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,30,342
12491,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,60,12
12492,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,90,42
12493,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,120,72
12494,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,150,102
12495,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,180,132
12496,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,210,162
12497,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,240,192
12498,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,270,222
12499,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,300,252
12500,Different Tide Period-Wind,12.5,12.4,0,0,90,20,0.026,0,36,24,6,330,282
12501,Different Viscosity-M2-110083,12.5,12.4,0.056,0,90,23.9,0,108,144,24,0,205,157
12502,Different Viscosity-M2-110083,12.5,12.4,0.056,0,90,23.9,0,108,144,24,0,205,157
12503,Different Viscosity-M2-110083,12.5,12.4,0.056,0,90,23.9,0,108,144,24,0,205,157
12504,Different Viscosity-M2-110083,12.5,12.4,0.056,0,90,23.9,0,108,144,24,0,205,157
